"analysis_ID","sample_label","soil_wt_g","pH","specific_conductance_ms_cm","date_run","initials","...8"
"PH_CMPS_KFP_0016","COMPASS_Dec2021_016",,"4.2","0.89","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0017","COMPASS_Dec2021_017",,"5.9","0.15","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0018","COMPASS_Dec2021_018",,"6.2","0.13","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0019","COMPASS_Dec2021_019",,"7.2","0.32","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0020","COMPASS_Dec2021_020",,"7.1","0.32","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0021","COMPASS_Dec2021_021",,"6.8","0.16","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0022","COMPASS_Dec2021_022",,"7.2","0.2","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0023","COMPASS_Dec2021_023",,"5.8","0.33","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0024","COMPASS_Dec2021_024",,"6.5","0.22","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0025","COMPASS_Dec2021_025",,"6.5","0.35","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0026","COMPASS_Dec2021_026",,"6.2","0.41","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0027","COMPASS_Dec2021_027",,"6.4","0.55","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0028","COMPASS_Dec2021_028",,"6.1","0.64","2022-06-28","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-28","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0029","COMPASS_Dec2021_029",,"5.5","0.47","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0030","COMPASS_Dec2021_030",,"5.6","0.64","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0031","COMPASS_Dec2021_031",,"6.9","0.16","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0032","COMPASS_Dec2021_032",,"7.3","0.28","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0033","COMPASS_Dec2021_033",,"7.4","0.09","2022-06-28","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-28","DF & JM","NULL"
"pH calibration","pH calibration",,"7","NULL","2022-06-29","DF & JM","NULL"
"conductance calibration","conductance calibration",,,"1.42","2022-06-29","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0034","COMPASS_Dec2021_034",,"6.9","0.12","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0035","COMPASS_Dec2021_035",,"6.8","0.11","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0036","COMPASS_Dec2021_036",,"6.9","0.09","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0037","COMPASS_Dec2021_037",,"6.6","0.12","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0038","COMPASS_Dec2021_038",,"6.7","0.11","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0039","COMPASS_Dec2021_039",,"6.9","0.14","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0040","COMPASS_Dec2021_040",,"6.5","0.1","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0041","COMPASS_Dec2021_041",,"6.5","0.1","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0042","COMPASS_Dec2021_042",,"6.6","0.12","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0043","COMPASS_Dec2021_043",,"6.6","0.14","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0044","COMPASS_Dec2021_044",,"6.8","0.27","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0045","COMPASS_Dec2021_045",,"6.8","0.3","2022-06-29","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0046","COMPASS_Dec2021_046",,"6.1","0.25","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0047","COMPASS_Dec2021_047",,"6.1","0.21","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0048","COMPASS_Dec2021_048",,"6","0.21","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0049","COMPASS_Dec2021_049",,"6.8","0.21","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0050","COMPASS_Dec2021_050",,"6.7","0.12","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0051","COMPASS_Dec2021_051",,"6.7","0.12","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0052","COMPASS_Dec2021_052",,"6.6","1.35","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0053","COMPASS_Dec2021_053",,"7.3","0.57","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0054","COMPASS_Dec2021_054",,"7","0.77","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0055","COMPASS_Dec2021_055",,"6.9","0.54","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0056","COMPASS_Dec2021_056",,"6.4","0.36","2022-06-29","DF & JM","NULL"
"PH_CMPS_KFP_0057","COMPASS_Dec2021_057",,"6.4","0.28","2022-06-29","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-29","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0058","COMPASS_Dec2021_058",,"5.9","0.48","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0059","COMPASS_Dec2021_059",,"6.8","0.56","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0060","COMPASS_Dec2021_060",,"7.2","0.8","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0061","COMPASS_Dec2021_061",,"6.2","0.1","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0062","COMPASS_Dec2021_062",,"6.6","0.07","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0063","COMPASS_Dec2021_063",,"6.3","0.07","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0064","COMPASS_Dec2021_064",,"5","0.07","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0065","COMPASS_Dec2021_065",,"5.7","0.11","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0066","COMPASS_Dec2021_066",,"6.3","0.04","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0067","COMPASS_Dec2021_067",,"6.4","0.08","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0068","COMPASS_Dec2021_068",,"6.6","0.14","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0069","COMPASS_Dec2021_069",,"6.7","0.07","2022-06-30","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-30","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0070","COMPASS_Dec2021_070",,"7.2","0.08","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0071","COMPASS_Dec2021_071",,"6.8","0.11","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0072","COMPASS_Dec2021_072",,"7.1","0.05","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0073","COMPASS_Dec2021_073",,"6.6","0.09","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0074","COMPASS_Dec2021_074",,"7.2","0.07","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0075","COMPASS_Dec2021_075",,"7.2","0.1","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0076","COMPASS_Dec2021_076",,"7.3","0.06","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0077","COMPASS_Dec2021_077",,"6.8","0.06","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0078","COMPASS_Dec2021_078",,"6.5","0.11","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0079","COMPASS_Dec2021_079",,"6.6","0.09","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0080","COMPASS_Dec2021_080",,"6.6","0.09","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0081","COMPASS_Dec2021_081",,"6.8","0.09","2022-06-30","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-30","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0082","COMPASS_Dec2021_082",,"7","0.08","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0083","COMPASS_Dec2021_083",,"7.5","0.08","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0084","COMPASS_Dec2021_084",,"7.2","0.07","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0085","COMPASS_Dec2021_085",,"6.3","0.14","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0086","COMPASS_Dec2021_086",,"6.6","0.07","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0087","COMPASS_Dec2021_087",,"6.9","0.15","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0088","COMPASS_Dec2021_088",,"6.5","0.11","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0089","COMPASS_Dec2021_089",,"6.1","0.17","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0090","COMPASS_Dec2021_090",,"6","0.16","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0091","COMPASS_Dec2021_091",,"6.3","0.28","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0092","COMPASS_Dec2021_092",,"6.1","0.14","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0093","COMPASS_Dec2021_093",,"6.6","0.19","2022-06-30","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-30","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0094","COMPASS_Dec2021_094",,"6.7","0.26","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0095","COMPASS_Dec2021_095",,"6.6","0.21","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0096","COMPASS_Dec2021_096",,"5.2","0.02","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0097","COMPASS_Dec2021_097",,"5","0.02","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0098","COMPASS_Dec2021_098",,"5","0.03","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0099","COMPASS_Dec2021_099",,"5.1","0.01","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0100","COMPASS_Dec2021_100",,"5.4","0","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0101","COMPASS_Dec2021_101",,"5.5","0.01","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0102","COMPASS_Dec2021_102",,"4.6","0.07","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0103","COMPASS_Dec2021_103",,,"NULL",,"DF & JM","NULL"
"PH_CMPS_KFP_0104","COMPASS_Dec2021_104",,,"NULL",,"DF & JM","NULL"
"PH_CMPS_KFP_0105","COMPASS_Dec2021_105",,,"NULL",,"DF & JM","NULL"
"PH_CMPS_KFP_0106","COMPASS_Dec2021_106",,,"NULL",,"DF & JM","NULL"
"PH_CMPS_KFP_0107","COMPASS_Dec2021_107",,"5.7","0","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0108","COMPASS_Dec2021_108",,"5.2","0","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0109","COMPASS_Dec2021_109",,"5.6","0","2022-06-30","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0110","COMPASS_Dec2021_110",,"5.6","0","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0111","COMPASS_Dec2021_111",,"5.8","0","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0112","COMPASS_Dec2021_112",,"7.2","0.02","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0113","COMPASS_Dec2021_113",,"5.1","0","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0114","COMPASS_Dec2021_114",,"7.2","0.02","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0115","COMPASS_Dec2021_115",,"7.1","0.03","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0116","COMPASS_Dec2021_116",,,"NULL",,"DF & JM","NULL"
"PH_CMPS_KFP_0117","COMPASS_Dec2021_117",,"6.6","0.03","2022-06-30","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-30","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0118","COMPASS_Dec2021_118",,"7","0.03","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0119","COMPASS_Dec2021_119",,"7.3","0.01","2022-06-30","DF & JM","NULL"
"PH_CMPS_KFP_0120","COMPASS_Dec2021_120",,"7.5","0.03","2022-06-30","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-30","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0129","COMPASS_May22_129",,"4.3","0.76","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0130","COMPASS_May22_130",,"4.1","0.53","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0131","COMPASS_May22_131",,"4.4","0.59","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0132","COMPASS_May22_132",,"4","0.81","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0133","COMPASS_May22_133",,"3.9","0.6","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0134","COMPASS_May22_134",,"4.3","0.23","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0135","COMPASS_May22_135",,"3.9","0.8","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0136","COMPASS_May22_136",,"4.4","0.53","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0137","COMPASS_May22_137",,"5.9","1.04","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0138","COMPASS_May22_138",,"5.4","2.27","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0139","COMPASS_May22_139",,"5.1","1.54","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0140","COMPASS_May22_140",,"5.2","2.16","2022-07-20","DF","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0141","COMPASS_May22_141",,"4.4","2.02","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0142","COMPASS_May22_142",,"5.2","1.69","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0143","COMPASS_May22_143",,"5.4","1.91","2022-07-20","DF","dsecond round"
"PH_CMPS_KFP_0144","COMPASS_May22_144",,"4.8","1.69","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0145","COMPASS_May22_145",,"5.7","4.96","2022-08-02","JIM","5.11"
"PH_CMPS_KFP_0146","COMPASS_May22_146",,"4.6","6.68","2022-08-02","JIM","6.3"
"PH_CMPS_KFP_0147","COMPASS_May22_147",,"4.1",">8.55","2022-08-02","JIM","8.38"
"PH_CMPS_KFP_0148","COMPASS_May22_148",,"4.7","5.01","2022-08-02","JIM","-"
"PH_CMPS_KFP_0149","COMPASS_May22_149",,"4.1","5.69","2022-08-02","JIM","5.57"
"PH_CMPS_KFP_0150","COMPASS_May22_150",,"3.7","-","2022-08-02","JIM","-"
"PH_CMPS_KFP_0151","COMPASS_May22_151",,"4.9","6.28","2022-08-02","JIM","6.15"
"PH_CMPS_KFP_0152","COMPASS_May22_152",,"5.2","6.43","2022-08-02","JIM","6.29"
"PH_CMPS_KFP_0153","COMPASS_May22_153",,"5.5","-","2022-08-02","JIM","-"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-08-02","JIM","NULL"
"PH_CMPS_KFP_0154","COMPASS_May22_154",,"4.4","0.33","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0155","COMPASS_May22_155",,"4.5","0.19","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0156","COMPASS_May22_156",,"4.6","0.24","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0157","COMPASS_May22_157",,"4.6","0.15","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0158","COMPASS_May22_158",,"4.8","0.14","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0159","COMPASS_May22_159",,"4.7","0.19","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0160","COMPASS_May22_160",,"4.4","0.2","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0161","COMPASS_May22_161",,"4.2","0.21","2022-07-20","DF","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7.1","NULL","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0162","COMPASS_May22_162",,"4.6","0.19","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0163","COMPASS_May22_163",,"4.8","0.15","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0164","COMPASS_May22_164",,"5.7","0.48","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0165","COMPASS_May22_165",,"5.8","0.35","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0166","COMPASS_May22_166",,"5.5","0.2","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0167","COMPASS_May22_167",,"5.6","0.36","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0168","COMPASS_May22_168",,"5","0.39","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0169","COMPASS_May22_169",,"5.3","0.25","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0170","COMPASS_May22_170",,"5.5","0.33","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0171","COMPASS_May22_171",,"5.1","0.25","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0172","COMPASS_May22_172",,"4.4","2.09","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0173","COMPASS_May22_173",,"4.5","0.62","2022-07-20","DF","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0174","COMPASS_May22_174",,"5.5","0.37","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0175","COMPASS_May22_175",,"4.4","0.77","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0176","COMPASS_May22_176",,"4.6","0.35","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0177","COMPASS_May22_177",,"4.7","0.23","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0178","COMPASS_May22_178",,"3.8","1.65","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0179","COMPASS_May22_179",,"5","0.51","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0180","COMPASS_May22_180",,"6.3","1.65","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0181","COMPASS_May22_181",,"6.7","1.43","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0182","COMPASS_May22_182",,"6.5","2.1","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0183","COMPASS_May22_183",,"6.7","1.84","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0184","COMPASS_May22_184",,"6.5","1.87","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0185","COMPASS_May22_185",,"6.5","2.67","2022-07-20","DF","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0186","COMPASS_May22_186",,"6.6","2","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0187","COMPASS_May22_187",,"6.6","2.05","2022-07-20","DF","NULL"
"PH_CMPS_KFP_0188","COMPASS_May22_188",,"5.7","0.48","2022-07-26","CGN","NULL"
"PH_CMPS_KFP_0189","COMPASS_May22_189",,"6","0.32","2022-07-26","CGN","NULL"
"PH_CMPS_KFP_0190","COMPASS_May22_190",,"6.2","1.17","2022-07-26","CGN","NULL"
"PH_CMPS_KFP_0191","COMPASS_May22_191",,"6.4","0.54","2022-07-26","CGN","NULL"
"PH_CMPS_KFP_0192","COMPASS_May22_192",,"5.6","0.27","2022-07-26","CGN","NULL"
"PH_CMPS_KFP_0193","COMPASS_May22_193",,"5.9","1.48","2022-07-26","CGN","NULL"
"PH_CMPS_KFP_0194","COMPASS_May22_194",,"5.7","1.03","2022-07-26","CGN","NULL"
"PH_CMPS_KFP_0195","COMPASS_May22_195",,"5.9","0.18","2022-07-26","CGN","NULL"
"PH_CMPS_KFP_0196","COMPASS_May22_196",,"4.8","0.84","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0197","COMPASS_May22_197",,"4.8","0.55","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0198","COMPASS_May22_198",,"4.9","0.39","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0199","COMPASS_May22_199",,"4.9","0.28","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0200","COMPASS_May22_200",,"4.6","0.34","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0201","COMPASS_May22_201",,"4.3","0.52","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0202","COMPASS_May22_202",,"4.4","0.41","2022-07-20","JIM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0203","COMPASS_May22_203",,"4.7","0.43","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0204","COMPASS_May22_204",,"5.9","1.06","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0206","COMPASS_May22_205",,"6.1","0.45","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0207","COMPASS_May22_206",,"6","0.5","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0208","COMPASS_May22_207",,"5.5","0.97","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0209","COMPASS_May22_208",,"5.2","0.63","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0210","COMPASS_May22_209",,"6.2","0.64","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0211","COMPASS_May22_210",,"6.1","0.47","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0212","COMPASS_May22_211",,"4.8","0.43","2022-07-20","JIM","NULL"
"PH_CMPS_KFP_0214","COMPASS_May22_214",,"4.7","0.27","2022-07-20","JIM","NULL"
